Country_Name,Longitude,Latitude,1995,2005,2010,2015,2020,2021,2022
Albania,19.9999619,41.000028,713,2614,4603,4320,5411,7735,8407
Algeria,2.9999825,28.0000272,10782,20357,41000,51803,37412,39434,40905
Australia,134.755,-24.7761086,57381,125221,201703,200114,210213,261586,309300
Bangladesh,90.2934413,24.4769288,5438,12631,30504,48059,45858,67283,80162
Brazil,-53.2,-10.3333333,53734,73600,181768,171446,166336,234690,292344
Cameroon,13.1535811,4.6125522,1079,2800,5133,6037,6038,7696,8474
Canada,-107.991707,61.0666922,164371,314444,392109,419375,405205,491401,568203
Chile,-71.3187697,-31.7613365,14903,32927,59007,62387,59201,92191,104402
China,104.999927,35.000074,131353,659953,1396002,1679564,2069568,2684363,2715998
Croatia,15.6575209,45.3658443,7509,18560,20067,20580,26096,33735,44115
Denmark,10.3333283,55.670249,43142,72716,82724,85327,95778,121784,125732
Egypt,29.2675469,26.2540493,11739,19812,53003,73975,60280,73781,79712
Germany,10.4478313,51.1638175,464145,779819,1060672,1057536,1173167,1424675,1577564
Nepal,83.9999901,28.3780464,1330,2282,5116,6612,9745,15830,13947
Singapore,103.8194992,1.357107,124503,200724,313071,308122,328624,406318,475413
